 Annual Factors: January-December ,,,,
,Mkt-RF,SMB,HML,RF
192701,29.47,-2.83,-3.4,3.12
192801,35.39,4.51,-6.17,3.56
192901,-19.54,-30.69,11.65,4.75
193001,-31.23,-5.34,-11.76,2.41
193101,-45.11,3.64,-14.56,1.07
193201,-9.39,4.56,10.83,0.96
193301,57.05,45.46,32.39,0.3
193401,3.02,25.6,-27.96,0.16
193501,44.96,10.91,8.74,0.17
193601,32.07,17.97,34.83,0.18
193701,-34.96,-14.14,-4.09,0.31
193801,28.48,9.29,-12.05,-0.02
193901,2.7,5.77,-18.98,0.02
194001,-7.14,1.18,-1.6,0
194101,-10.53,-4.04,11.13,0.06
194201,16.2,5.09,19.96,0.27
194301,27.96,33.29,38.47,0.35
194401,20.97,17.53,16.46,0.33
194501,38.38,25.14,10.88,0.33
194601,-6.73,-3.99,3.11,0.35
194701,2.95,-6.99,9.87,0.5
194801,1.07,-9.11,3.74,0.81
194901,19.12,3.75,-4.24,1.1
195001,28.82,1.13,27.04,1.2
195101,19.22,-5.22,-5.67,1.49
195201,11.8,-6.76,3.31,1.66
195301,-1.05,-1.16,-7.73,1.82
195401,49.35,-2.06,26.04,0.86
195501,23.75,-5.91,4.9,1.57
195601,5.9,-0.9,-1.84,2.46
195701,-13.16,-2.7,-6.18,3.14
195801,43.45,14.51,13.48,1.54
195901,9.76,5.46,1.78,2.95
196001,-1.46,-2.72,-4.55,2.66
196101,24.81,1.51,5.14,2.13
196201,-12.9,-8.34,9.02,2.73
196301,17.84,-6.06,15.45,3.12
196401,12.54,-0.76,9.65,3.54
196501,10.52,22.05,6.95,3.93
196601,-13.51,2.93,-1.14,4.76
196701,24.49,49.63,-7.3,4.21
196801,8.79,24.17,18.49,5.21
196901,-17.54,-14.12,-9.95,6.58
197001,-6.49,-11.76,21.54,6.52
197101,11.78,5.98,-11.26,4.39
197201,13.05,-12.26,1.76,3.84
197301,-26.18,-23.45,17.47,6.93
197401,-35.75,-0.72,9.87,8
197501,32.44,15.43,9.25,5.8
197601,21.91,14.58,24.28,5.08
197701,-8.26,22.6,7.5,5.12
197801,1.03,14.39,0.59,7.18
197901,13.09,21.23,-2.48,10.38
198001,22.13,5.7,-24.63,11.24
198101,-18.13,7.13,25.12,14.71
198201,10.66,8.7,13.36,10.54
198301,13.75,14.03,20.49,8.8
198401,-6.05,-8.2,19.07,9.85
198501,24.91,0.58,1.37,7.72
198601,10.12,-9.56,9.33,6.16
198701,-3.87,-10.85,-1.62,5.47
198801,11.55,5.76,14.37,6.35
198901,20.49,-12.9,-4.12,8.37
199001,-13.95,-14.02,-10.04,7.81
199101,29.18,16.15,-14.72,5.6
199201,6.23,7.66,24.49,3.51
199301,8.21,6.38,16.86,2.9
199401,-4.1,-0.3,-0.77,3.9
199501,31.22,-9.75,6.05,5.6
199601,15.96,-4.42,8.71,5.21
199701,25.96,-7.64,19.1,5.26
199801,19.46,-25.28,-10.32,4.86
199901,20.57,15.59,-31.96,4.68
200001,-17.6,-4.58,45.02,5.89
200101,-15.21,18.24,18.5,3.83
200201,-22.76,4.45,8.09,1.65
200301,30.75,26.51,5.11,1.02
200401,10.72,4.43,7.67,1.2
200501,3.09,-2.36,9.43,2.98
200601,10.6,0.08,11.75,4.8
200701,1.04,-7.4,-17.28,4.66
200801,-38.34,2.45,0.83,1.6
200901,28.26,9.35,-9.42,0.1
201001,17.37,14.29,-5.1,0.12
201101,0.44,-5.79,-8.54,0.04
201201,16.27,-1.32,9.85,0.06
201301,35.2,7.63,2.65,0.02
201401,11.71,-7.76,-1.53,0.02
201501,0.09,-3.99,-9.49,0.02
201601,13.3,6.64,22.59,0.2
201701,21.51,-5.02,-13.51,0.8
201801,-6.93,-3.29,-9.8,1.81
201901,28.29,-6.13,-10.2,2.14
202001,23.67,12.96,-46.46,0.44
202101,23.56,-3.97,25.55,0.04
